"","team","season","coach_first_name","coach_last_name","coach_aux_1","coach_aux_2","grad_yr"
"782","George Mason","2011-2012","Jeri","Porter",NA,NA,"1991"
"783","George Washington","2011-2012","Mike","Bozeman",NA,NA,"1988"
"784","Georgetown","2011-2012","Terri","Williams-Flournoy",NA,NA,"1991"
"785","Georgia","2011-2012","Andy","Landers",NA,NA,"1974"
"786","Georgia St.","2011-2012","Sharon","Baldwin",NA,NA,"1991"
"787","Georgia Tech","2011-2012","MaChelle","Joseph",NA,NA,"1992"
"788","Gonzaga","2011-2012","Kelly","Graves",NA,NA,"1988"
"789","Grambling","2011-2012","Donnita","Rogers",NA,NA,"1990"
"790","Green Bay","2011-2012","Matt","Bollant",NA,NA,"1994"
"791","Hampton","2011-2012","David","Six",NA,NA,"2009"
"792","Hartford","2011-2012","Jennifer","Rizzotti",NA,NA,"1996"
"793","Harvard","2011-2012","Kathleen","Delaney-Smith",NA,NA,"1971"
"794","Hawaii","2011-2012","Dana","Takahara-Dias",NA,NA,"1988"
"795","High Point","2011-2012","Jennifer","Hoover",NA,NA,"1991"
"796","Hofstra","2011-2012","Krista","Kilburn-Steveskey",NA,NA,"1990"
"797","Holy Cross","2011-2012","Bill","Gibbons","Jr.",NA,"1981"
"798","Houston","2011-2012","Todd","Buchanan",NA,NA,"1995"
"799","Houston Baptist","2011-2012","Mary","Gleason",NA,NA,"1995"
"800","Howard","2011-2012","Niki","Reid","Geckeler",NA,"1993"
"801","IUPUI","2011-2012","Austin","Parkinson",NA,NA,"2004"
"802","Idaho","2011-2012","Jon","Newlee",NA,NA,"1982"
"803","Idaho St.","2011-2012","Seton","Sobolewski",NA,NA,"2001"
"804","Illinois","2011-2012","Jolette","Law",NA,NA,"1990"
"805","Illinois St.","2011-2012","Stephanie","Glance",NA,NA,"1985"
"806","Indiana","2011-2012","Felisha","Legette-Jack",NA,NA,"1989"
"807","Indiana St.","2011-2012","Teri","Moren",NA,NA,"1992"
"808","Iona","2011-2012","Tony","Bozzella",NA,NA,"1989"
"809","Iowa","2011-2012","Lisa","Bluder",NA,NA,"1983"
"810","Iowa St.","2011-2012","Bill","Fennelly",NA,NA,"1979"
"811","Jackson St.","2011-2012","Larry","McNeil",NA,NA,NA
"812","Jacksonville","2011-2012","Jill","Dunn",NA,NA,"1994"
"813","Jacksonville St.","2011-2012","Annette","Watts",NA,NA,"1981"
"814","James Madison","2011-2012","Kenny","Brooks",NA,NA,"1992"
"815","Kansas","2011-2012","Bonnie","Henrickson",NA,NA,"1986"
"816","Kansas St.","2011-2012","Deb","Patterson",NA,NA,"1979"
"817","Kennesaw St.","2011-2012","Colby","Tilley",NA,NA,"1972"
"818","Kent St.","2011-2012","Bob","Lindsay",NA,NA,"1976"
"819","Kentucky","2011-2012","Matthew","Mitchell",NA,NA,"1995"
"820","LIU Brooklyn","2011-2012","Gail","Striegler",NA,NA,"1990"
"821","LSU","2011-2012","Nikki","Fargas",NA,NA,"1994"
"822","La Salle","2011-2012","Jeff","Williams",NA,NA,"1987"
"823","La.-Monroe","2011-2012","Mona","Martin",NA,NA,"1976"
"824","Lafayette","2011-2012","Dianne","Nolan",NA,NA,"1973"
"825","Lamar University","2011-2012","Larry","Tidwell",NA,NA,"1976"
"826","Lehigh","2011-2012","Sue","Troyan",NA,NA,"1988"
"827","Liberty","2011-2012","Carey","Green",NA,NA,"1979"
"828","Lipscomb","2011-2012","Frank","Bennett",NA,NA,"1973"
"829","Little Rock","2011-2012","Joe","Foley",NA,NA,"1979"
"830","Long Beach St.","2011-2012","Jody","Wynn",NA,NA,"1996"
"831","Longwood","2011-2012","Bill","Reinson",NA,NA,NA
"832","Louisiana","2011-2012","Errol","Rogers",NA,NA,NA
"833","Louisiana Tech","2011-2012","Teresa","Weatherspoon",NA,NA,"2008"
"834","Louisville","2011-2012","Jeff","Walz",NA,NA,"1995"
"835","Loyola Chicago","2011-2012","Eric","Simpson",NA,NA,"1994"
"836","Loyola Maryland","2011-2012","Joe","Logan",NA,NA,"1996"
"837","Loyola Marymount","2011-2012","Julie","Wilhoit",NA,NA,"1985"
"838","Maine","2011-2012","Richard","Barron",NA,NA,NA
"839","Manhattan","2011-2012","John","Olenowski",NA,NA,"1977"
"840","Marist","2011-2012","Brian","Giorgis",NA,NA,"1977"
"841","Marquette","2011-2012","Terri","Mitchell",NA,NA,"1989"
"842","Marshall","2011-2012","Royce","Chadwick",NA,NA,"1980"
"843","Maryland","2011-2012","Brenda","Frese",NA,NA,"1993"
"844","Massachusetts","2011-2012","Sharon","Dawley",NA,NA,"1983"
"845","McNeese","2011-2012","Brooks","Donald","Williams",NA,"2000"
"846","Memphis","2011-2012","Melissa","McFerrin",NA,NA,"1983"
"847","Mercer","2011-2012","Susie","Gardner",NA,NA,"1986"
"848","Miami (FL)","2011-2012","Katie","Meier",NA,NA,"1990"
"849","Miami (OH)","2011-2012","Maria","Fantanarosa",NA,NA,"1990"
"850","Michigan","2011-2012","Kevin","Borseth",NA,NA,"1976"
"851","Michigan St.","2011-2012","Suzy","Merchant",NA,NA,"1991"
"852","Middle Tenn.","2011-2012","Rick","Insell",NA,NA,"1977"
"853","Milwaukee","2011-2012","Sandy","Botham",NA,NA,"1988"
"854","Minnesota","2011-2012","Pam","Borton",NA,NA,"1987"
"855","Mississippi St.","2011-2012","Sharon","Fanning-Otis",NA,NA,"1975"
"856","Mississippi Val.","2011-2012","Nate","Kilbert",NA,NA,NA
"857","Missouri","2011-2012","Robin","Pingeton",NA,NA,"1990"
"858","Missouri St.","2011-2012","Nyla","Milleson",NA,NA,NA
"859","Monmouth","2011-2012","Jenny","Palmateer",NA,NA,"1993"
"860","Montana","2011-2012","Robin","Selvig",NA,NA,"1975"
"861","Montana St.","2011-2012","Tricia","Binford",NA,NA,"1995"
"862","Morehead St.","2011-2012","Tom","Hodges",NA,NA,"2004"
"863","Morgan St.","2011-2012","Donald","Beasley",NA,NA,"1984"
"864","Mount St. Mary's","2011-2012","Bryan","Whitten",NA,NA,"1991"
"865","Murray St.","2011-2012","Rob","Cross",NA,NA,"1991"
"866","N.C. A&T","2011-2012","Patricia","Cage-Bibbs",NA,NA,"1972"
"867","N.C. Central","2011-2012","Joli","Robinson",NA,NA,"1977"
"868","NC State","2011-2012","Kellie","Harper",NA,NA,"1999"
"869","NJIT","2011-2012","Margaret","McKeon",NA,NA,"1991"
"870","Navy","2011-2012","Stefanie","Pemper",NA,NA,"92"
"871","Nebraska","2011-2012","Connie","Yori",NA,NA,NA
"872","Nevada","2011-2012","Jane","Albright",NA,NA,"1977"
"873","New Hampshire","2011-2012","Maureen","Magarity",NA,NA,"2003"
"874","New Mexico","2011-2012","Yvonne","Sanchez",NA,NA,"1989"
"875","New Mexico St.","2011-2012","Mark","Trakh",NA,NA,"1981"
"876","Niagara","2011-2012","Kendra","Faustin",NA,NA,"2001"
"877","Nicholls St.","2011-2012","DoBee","Plaisance",NA,NA,NA
"878","Norfolk St.","2011-2012","Debra","Clark",NA,NA,"1984"
"879","North Carolina","2011-2012","Sylvia","Hatchell",NA,NA,"1974"
"880","North Dakota","2011-2012","Gene","Roebuck",NA,NA,"1969"
"881","North Dakota St.","2011-2012","Carolyn","DeHoff",NA,NA,NA
"882","North Florida","2011-2012","Mary","Tappmeyer",NA,NA,"1981"
"883","North Texas","2011-2012","Karen","Aston",NA,NA,"1987"
"884","Northeastern","2011-2012","Daynia","LaForce-Mann",NA,NA,"1995"
"885","Northern Ariz.","2011-2012","Laurie","Kelly",NA,NA,"1993"
"886","Northern Colo.","2011-2012","Jaime","White",NA,NA,"1994"
"887","Northern Ill.","2011-2012","Kathi","Bennett",NA,NA,"1986"
"888","Northwestern","2011-2012","Joe","McKeown",NA,NA,"1979"
"889","Northwestern St.","2011-2012","Jennifer","Graf",NA,NA,"2002"
"890","Notre Dame","2011-2012","Muffet","McGraw",NA,NA,"1977"
"891","Oakland","2011-2012","Beckie","Francis",NA,NA,"1987"
"892","Ohio","2011-2012","Semeka","Randall",NA,NA,"2000"
"893","Ohio St.","2011-2012","Jim","Foster",NA,NA,"1980"
"894","Oklahoma","2011-2012","Sherri","Coale",NA,NA,"1987"
"895","Oklahoma St.","2011-2012","Kurt","Budke",NA,NA,"1984"
"896","Old Dominion","2011-2012","Karen","Barefoot",NA,NA,"1995"
"897","Ole Miss","2011-2012","Renee","Ladner",NA,NA,"1981"
"898","Omaha","2011-2012","Chance","Lindley",NA,NA,NA
"899","Oral Roberts","2011-2012","Jerry","Finkbeiner",NA,NA,"1980"
"900","Oregon","2011-2012","Paul","Westhead",NA,NA,"1961"
"901","Oregon St.","2011-2012","Scott","Rueck",NA,NA,"1991"
"902","Pacific","2011-2012","Lynne","Roberts",NA,NA,"1997"
"903","Penn","2011-2012","Mike","McLaughlin",NA,NA,"1991"
"904","Penn St.","2011-2012","Coquese","Washington",NA,NA,"1993"
"905","Pepperdine","2011-2012","Julie","Rousseau",NA,NA,"1991"
"906","Pittsburgh","2011-2012","Agnus","Berenato",NA,NA,"1980"
"907","Portland","2011-2012","Jim","Sollars",NA,NA,"1966"
"908","Portland St.","2011-2012","Sherri","Murrell",NA,NA,"1991"
"909","Prairie View","2011-2012","Toyelle","Wilson",NA,NA,"2003"
"910","Presbyterian","2011-2012","Ronny","Fisher",NA,NA,"1990"
"911","Princeton","2011-2012","Courtney","Banghart",NA,NA,"2000"
"912","Providence","2011-2012","Phil","Seymore",NA,NA,"1989"
"913","Purdue","2011-2012","Sharon","Versyp",NA,NA,"1989"
"914","Purdue Fort Wayne","2011-2012","Chris","Paul",NA,NA,NA
"915","Quinnipiac","2011-2012","Tricia","Fabbri",NA,NA,"1991"
"916","Radford","2011-2012","Tajama","Abraham","Ngongba",NA,"1997"
"917","Rhode Island","2011-2012","Cathy","Inglese",NA,NA,"1980"
"918","Rice","2011-2012","Greg","Williams",NA,NA,"1970"
"919","Richmond","2011-2012","Michael","Shafer",NA,NA,"1994"
"920","Rider","2011-2012","Lynn","Milligan",NA,NA,"1992"
"921","Robert Morris","2011-2012","Sal","Buscaglia",NA,NA,"1976"
"922","Rutgers","2011-2012","C.","Vivian","Stringer",NA,"1970"
"923","SFA","2011-2012","Brandon","Schneider",NA,NA,"1995"
"924","SIUE","2011-2012","Amanda","Levens",NA,NA,"2002"
"925","SMU","2011-2012","Rhonda","Rompola",NA,NA,"1983"
"926","Sacramento St.","2011-2012","Jamie","Craighead",NA,NA,"2002"
"927","Sacred Heart","2011-2012","Ed","Swanson",NA,NA,"1989"
"928","Saint Francis (PA)","2011-2012","Susan","Robinson","Fruchtl",NA,"1992"
"929","Saint Joseph's","2011-2012","Cindy","Griffin",NA,NA,"1991"
"930","Saint Louis","2011-2012","Shimmy","Gray-Miller",NA,NA,"1994"
"931","Saint Mary's (CA)","2011-2012","Paul","Thomas",NA,NA,"1986"
"932","Saint Peter's","2011-2012","Stephanie","DeWolfe",NA,NA,"1997"
"933","Sam Houston St.","2011-2012","Brenda","Welch-Nichols",NA,NA,"1989"
"934","Samford","2011-2012","Mike","Morris",NA,NA,"1992"
"935","San Diego","2011-2012","Cindy","Fisher",NA,NA,"1988"
"936","San Diego St.","2011-2012","Beth","Burns",NA,NA,"1979"
"937","San Francisco","2011-2012","Jennifer","Azzi",NA,NA,"1990"
"938","San Jose St.","2011-2012","Tim","LaKose",NA,NA,"1991"
"939","Santa Clara","2011-2012","Jennifer","Mountain",NA,NA,"1991"
"940","Savannah St.","2011-2012","Cedric","Baker",NA,NA,"1990"
"941","Seattle U","2011-2012","Joan","Bonvicini",NA,NA,"1975"
"942","Seton Hall","2011-2012","Anne","Donovan",NA,NA,"1983"
"943","Siena","2011-2012","Gina","Castelli",NA,NA,"1986"
"944","South Alabama","2011-2012","Rick","Pietri",NA,NA,"1987"
"945","South Carolina","2011-2012","Dawn","Staley",NA,NA,"1992"
"946","South Carolina St.","2011-2012","Douglas","Robertson",NA,NA,"1995"
"947","South Dakota","2011-2012","Ryun","Williams",NA,NA,NA
"948","South Dakota St.","2011-2012","Aaron","Johnston",NA,NA,"1996"
"949","South Fla.","2011-2012","Jose","Fernandez",NA,NA,"1994"
"950","Southeast Mo. St.","2011-2012","Ty","Margenthaler",NA,NA,"1997"
"951","Southeastern La.","2011-2012","Lori","Davis","Jones",NA,"1991"
"952","Southern California","2011-2012","Michael","Cooper",NA,NA,"1978"
"953","Southern Ill.","2011-2012","Melissa","Tiber",NA,NA,"1994"
"954","Southern Miss.","2011-2012","Joye","Lee-McNelis",NA,NA,"1984"
"955","Southern U.","2011-2012","Sandy","Pugh",NA,NA,"1987"
"956","Southern Utah","2011-2012","JR","Payne",NA,NA,"1999"
"957","St. Bonaventure","2011-2012","Jim","Crowley",NA,NA,"1993"
"958","St. Francis Brooklyn","2011-2012","Brenda","Milano",NA,NA,"1995"
"959","St. John's (NY)","2011-2012","Kim","Barnes","Arico",NA,"1993"
"960","Stanford","2011-2012","Tara","VanDerveer",NA,NA,"1975"
"961","Stetson","2011-2012","Lynn","Bria",NA,NA,"1990"
"962","Stony Brook","2011-2012","Beth","O'Boyle",NA,NA,NA
"963","Syracuse","2011-2012","Quentin","Hillsman",NA,NA,"1993"
"964","TCU","2011-2012","Jeff","Mittie",NA,NA,"1989"
"965","Temple","2011-2012","Tonya","Cardoza",NA,NA,NA
"966","Tennessee","2011-2012","Pat","Summitt",NA,NA,"1974"
"967","Tennessee St.","2011-2012","Tracee","Wells",NA,NA,"1998"
"968","Tennessee Tech","2011-2012","Sytia","Messer",NA,NA,"2000"
"969","Texas","2011-2012","Gail","Goestenkors",NA,NA,"1985"
"970","Texas A&M","2011-2012","Gary","Blair",NA,NA,"1972"
"971","Texas Southern","2011-2012","Yolanda","Wells-Broughton",NA,NA,"1995"
"972","Texas St.","2011-2012","Zenarae","Antoine",NA,NA,"1998"
"973","Texas Tech","2011-2012","Kristy","Curry",NA,NA,"1988"
"974","Toledo","2011-2012","Tricia","Cullop",NA,NA,"1993"
"975","Towson","2011-2012","Joe","Mathews",NA,NA,NA
"976","Troy","2011-2012","Michael","Murphy",NA,NA,"1985"
"977","Tulane","2011-2012","Lisa","Stockton",NA,NA,"1986"
"978","Tulsa","2011-2012","Matilda","Mossman",NA,NA,"1979"
"979","UAB","2011-2012","Audra","Smith",NA,NA,"1992"
"980","UC Davis","2011-2012","Jennifer","Gross",NA,NA,"1997"
"981","UC Irvine","2011-2012","Molly","Goodenbour",NA,NA,"1993"
"982","UC Riverside","2011-2012","John","Margaritis",NA,NA,"1982"
"983","UC Santa Barbara","2011-2012","Charlene","Mitchell",NA,NA,"1996"
"984","UCF","2011-2012","Joi","Williams",NA,NA,"1988"
"985","UCLA","2011-2012","Cori","Close",NA,NA,"1993"
"986","UConn","2011-2012","Geno","Auriemma",NA,NA,NA
"987","UIC","2011-2012","Regina","Miller",NA,NA,"1984"
"988","UMBC","2011-2012","Phil","Stern",NA,NA,"1994"
"989","UMES","2011-2012","Fred","Batchelor",NA,NA,"1988"
"990","UMKC","2011-2012","Candi","Whitaker",NA,NA,"2002"
"991","UNC Asheville","2011-2012","Betsy","Blose",NA,NA,"1984"
"992","UNC Greensboro","2011-2012","Wendy","Palmer",NA,NA,"1996"
"993","UNCW","2011-2012","Cynthia","Cooper",NA,NA,"2005"
"994","UNI","2011-2012","Tanya","Warren",NA,NA,"1988"
"995","UNLV","2011-2012","Kathy","Olivier",NA,NA,NA
"996","USC Upstate","2011-2012","Tammy","George",NA,NA,"1993"
"997","UT Arlington","2011-2012","Samantha","Morrow",NA,NA,"1981"
"998","UT Martin","2011-2012","Kevin","McMillan",NA,NA,"1989"
"999","UTEP","2011-2012","Keitha","Adams",NA,NA,"1989"
"1000","UTRGV","2011-2012","Denny","Downing",NA,NA,"1989"
"1001","UTSA","2011-2012","Rae","Rippetoe-Blair",NA,NA,"1985"
"1002","Utah","2011-2012","Anthony","Levrets",NA,NA,"2000"
"1003","Utah St.","2011-2012","Raegan","Pebley",NA,NA,"1997"
"1004","Utah Valley","2011-2012","Cathy","Nixon",NA,NA,"1989"
"1005","VCU","2011-2012","Beth","Cunningham",NA,NA,"1997"
"1006","Valparaiso","2011-2012","Keith","Freeman",NA,NA,"1986"
"1007","Vanderbilt","2011-2012","Melanie","Balcomb",NA,NA,"1984"
"1008","Vermont","2011-2012","Lori","Gear","McBride",NA,"1997"
"1009","Villanova","2011-2012","Harry","Perretta",NA,NA,NA
"1010","Virginia","2011-2012","Joanne","Boyle",NA,NA,"1985"
"1011","Virginia Tech","2011-2012","Dennis","Wolff",NA,NA,"1978"
"1012","Wagner","2011-2012","Gela","Mikalauskas",NA,NA,"1977"
"1013","Wake Forest","2011-2012","Mike","Petersen",NA,NA,"1983"
"1014","Washington","2011-2012","Kevin","McGuff",NA,NA,"1992"
"1015","Washington St.","2011-2012","June","Daugherty",NA,NA,"1978"
"1016","Weber St.","2011-2012","Bethann","Shapiro","Ord",NA,"1989"
"1017","West Virginia","2011-2012","Mike","Carey",NA,NA,"1980"
"1018","Western Caro.","2011-2012","Karen","Middleton",NA,NA,"1991"
"1019","Western Ill.","2011-2012","JD","Gravina",NA,NA,"2000"
"1020","Western Ky.","2011-2012","Mary","Taylor","Cowles",NA,"1991"
"1021","Western Mich.","2011-2012","Tasha","McDowell",NA,NA,"1997"
"1022","Wichita St.","2011-2012","Jody","Adams",NA,NA,"1994"
"1023","William & Mary","2011-2012","Debbie","Taylor",NA,NA,"1986"
"1024","Winthrop","2011-2012","Marlene","Stollings",NA,NA,"1998"
"1025","Wisconsin","2011-2012","Bobbie","Kelsey",NA,NA,"1996"
"1026","Wofford","2011-2012","Edgar","Farmer",NA,NA,NA
"1027","Wright St.","2011-2012","Michael","Bradbury",NA,NA,"1993"
"1028","Wyoming","2011-2012","Joe","Legerski",NA,NA,"1979"
"1029","Xavier","2011-2012","Amy","Waugh",NA,NA,"2003"
"1030","Yale","2011-2012","Chris","Gobrecht",NA,NA,"1977"
"1031","Youngstown St.","2011-2012","Bob","Boldon",NA,NA,"1997"
"1032","A&M-Corpus Christi","2012-2013","Royce","Chadwick",NA,NA,"1980"
"1033","Air Force","2012-2013","Andrea","Williams",NA,NA,"1994"
"1034","Akron","2012-2013","Jodi","Kest",NA,NA,"1984"
"1035","Alabama","2012-2013","Wendell","Hudson",NA,NA,"1973"
"1036","Alabama A&M","2012-2013","Altherias","Warmley",NA,NA,"1990"
"1037","Alabama St.","2012-2013","Freda","Freeman-Jackson",NA,NA,"1984"
"1038","Albany (NY)","2012-2013","Katie","Abrahamson-Henderson",NA,NA,"1990"
"1039","Alcorn","2012-2013","Tonya","Edwards",NA,NA,"1990"
"1040","American","2012-2013","Matt","Corkery",NA,NA,"1993"
"1041","Appalachian St.","2012-2013","Darcie","Vincent",NA,NA,"1992"
"1042","Arizona","2012-2013","Niya","Butts",NA,NA,"2000"
"1043","Arizona St.","2012-2013","Charli","Turner","Thorne",NA,"88"
"1044","Ark.-Pine Bluff","2012-2013","Nate","Kilbert",NA,NA,"1987"
"1045","Arkansas","2012-2013","Tom","Collen",NA,NA,"1990"
"1046","Arkansas St.","2012-2013","Brian","Boyer",NA,NA,"1993"
"1047","Army West Point","2012-2013","Dave","Magarity",NA,NA,"1974"
"1048","Auburn","2012-2013","Terri","Williams-Flournoy",NA,NA,"1991"
"1049","Austin Peay","2012-2013","Carrie","Daniels",NA,NA,"1996"
"1050","BYU","2012-2013","Jeff","Judkins",NA,NA,"1978"
"1051","Ball St.","2012-2013","Brady","Sallee",NA,NA,"1993"
"1052","Baylor","2012-2013","Kim","Mulkey",NA,NA,"1984"
"1053","Belmont","2012-2013","Brittney","Ezell",NA,NA,"1999"
"1054","Bethune-Cookman","2012-2013","Vanessa","Blair-Lewis",NA,NA,"1992"
"1055","Binghamton","2012-2013","Nicole","Scholl",NA,NA,"1994"
"1056","Boise St.","2012-2013","Gordy","Presnell",NA,NA,"1983"
"1057","Boston College","2012-2013","Erik","Johnson",NA,NA,"1994"
"1058","Boston U.","2012-2013","Kelly","Greenberg",NA,NA,"1989"
"1059","Bowling Green","2012-2013","Jennifer","Roos",NA,NA,"1993"
"1060","Bradley","2012-2013","Mike","Brooks",NA,NA,"2004"
"1061","Brown","2012-2013","Jean","Marie","Burr",NA,"1977"
"1062","Bryant","2012-2013","Mary","Burke",NA,NA,"1987"
"1063","Bucknell","2012-2013","Aaron","Roussell",NA,NA,"2001"
"1064","Buffalo","2012-2013","Felisha","Legette-Jack",NA,NA,"1989"
"1065","Butler","2012-2013","Beth","Couture",NA,NA,"1984"
"1066","CSU Bakersfield","2012-2013","Greg","McCall",NA,NA,"1991"
"1067","CSUN","2012-2013","Jason","Flowers",NA,NA,"2003"
"1068","Cal Poly","2012-2013","Faith","Mimnaugh",NA,NA,"1985"
"1069","Cal St. Fullerton","2012-2013","Marcia","Foster",NA,NA,"1984"
"1070","California","2012-2013","Lindsay","Gottlieb",NA,NA,"1999"
"1071","Campbell","2012-2013","Wanda","Watkins",NA,NA,"1979"
"1072","Canisius","2012-2013","Terry","Zeh",NA,NA,"1990"
"1073","Central Ark.","2012-2013","Sandra","Rushing",NA,NA,"86"
"1074","Central Conn. St.","2012-2013","Beryl","Piper",NA,NA,"1987"
"1075","Central Mich.","2012-2013","Sue","Guevara",NA,NA,"1982"
"1076","Charleston So.","2012-2013","Fred","Applin",NA,NA,"1985"
"1077","Charlotte","2012-2013","Cara","Consuegra",NA,NA,"2001"
"1078","Chattanooga","2012-2013","Wes","Moore",NA,NA,"1986"
"1079","Chicago St.","2012-2013","Angela","Jackson",NA,NA,"1991"
"1080","Cincinnati","2012-2013","Jamelle","Elliott",NA,NA,NA
"1081","Clemson","2012-2013","Itoro","Coleman",NA,NA,"2000"
"1082","Cleveland St.","2012-2013","Kate","Peterson","Abiad",NA,"1991"
"1083","Coastal Caro.","2012-2013","Alan","LeForce",NA,NA,"1957"
"1084","Col. of Charleston","2012-2013","Natasha","Adair",NA,NA,"1994"
"1085","Colgate","2012-2013","Nicci","Hays","Fort",NA,"1998"
"1086","Colorado","2012-2013","Linda","Lappe",NA,NA,"2002"
"1087","Colorado St.","2012-2013","Ryun","Williams",NA,NA,"1992"
"1088","Columbia","2012-2013","Paul","Nixon",NA,NA,"1993"
"1089","Coppin St.","2012-2013","Derek","Brown",NA,NA,NA
"1090","Cornell","2012-2013","Dayna","Smith",NA,NA,"1996"
"1091","Creighton","2012-2013","Jim","Flanery",NA,NA,"1987"
"1092","Dartmouth","2012-2013","Christina","""Chris""","Wielgus",NA,"1974"
"1093","Davidson","2012-2013","Michele","Savage",NA,NA,"1993"
"1094","Dayton","2012-2013","Jim","Jabir",NA,NA,"1984"
"1095","DePaul","2012-2013","Doug","Bruno",NA,NA,"1973"
"1096","Delaware","2012-2013","Tina","Martin",NA,NA,"1986"
"1097","Delaware St.","2012-2013","Tamika","Louis",NA,NA,"1998"
"1098","Denver","2012-2013","Kerry","Cremeans",NA,NA,NA
"1099","Detroit Mercy","2012-2013","Autumn","Rademacher",NA,NA,"1997"
"1100","Drake","2012-2013","Jennie","Baranczyk",NA,NA,"2004"
"1101","Drexel","2012-2013","Denise","Dillon",NA,NA,"1996"
"1102","Duke","2012-2013","Joanne","P.","McCallie",NA,"1987"
"1103","Duquesne","2012-2013","Suzie","McConnell-Serio",NA,NA,"1988"
"1104","ETSU","2012-2013","Karen","Kemp",NA,NA,"1985"
"1105","East Carolina","2012-2013","Heather","Macy",NA,NA,"2000"
"1106","Eastern Ill.","2012-2013","Lee","Buchanan",NA,NA,"1983"
"1107","Eastern Ky.","2012-2013","Chrissy","Roberts",NA,NA,"1998"
"1108","Eastern Mich.","2012-2013","Tory","Verdi",NA,NA,"1996"
"1109","Eastern Wash.","2012-2013","Wendy","Schuller",NA,NA,"1992"
"1110","Elon","2012-2013","Charlotte","Smith",NA,NA,"1995"
"1111","Evansville","2012-2013","Oties","Epps",NA,NA,NA
"1112","FGCU","2012-2013","Karl","Smesko",NA,NA,"1993"
"1113","FIU","2012-2013","Cindy","Russo",NA,NA,"1975"
"1114","Fairfield","2012-2013","Joe","Frager",NA,NA,NA
"1115","Fairleigh Dickinson","2012-2013","Peter","Cinella",NA,NA,"1990"
"1116","Fla. Atlantic","2012-2013","Kellie","Lewis-Jay",NA,NA,"1998"
"1117","Florida","2012-2013","Amanda","Butler",NA,NA,"1995"
"1118","Florida A&M","2012-2013","LeDawn","Gibson",NA,NA,"2000"
"1119","Florida St.","2012-2013","Sue","Semrau",NA,NA,"1985"
"1120","Fordham","2012-2013","Stephanie","Gaitley",NA,NA,"1982"
"1121","Fresno St.","2012-2013","Raegan","Pebley",NA,NA,"1997"
"1122","Furman","2012-2013","Jackie","Smith","Carson",NA,"2001"
"1123","Ga. Southern","2012-2013","Chris","Vozab",NA,NA,"2002"
"1124","Gardner-Webb","2012-2013","Rick","Reeves",NA,NA,"1981"
"1125","George Mason","2012-2013","Jeri","Porter",NA,NA,"1991"
"1126","George Washington","2012-2013","Jonathan","Tsipis",NA,NA,"1996"
"1127","Georgetown","2012-2013","Keith","Brown",NA,NA,"1988"
"1128","Georgia","2012-2013","Andy","Landers",NA,NA,"1974"
"1129","Georgia St.","2012-2013","Sharon","Baldwin",NA,NA,"1991"
"1130","Georgia Tech","2012-2013","MaChelle","Joseph",NA,NA,"1992"
"1131","Gonzaga","2012-2013","Kelly","Graves",NA,NA,"1988"
"1132","Grambling","2012-2013","Patricia","Cage-Bibbs",NA,NA,"1972"
"1133","Green Bay","2012-2013","Kevin","Borseth",NA,NA,"1976"
"1134","Hampton","2012-2013","David","Six",NA,NA,"2009"
"1135","Hartford","2012-2013","Jennifer","Rizzotti",NA,NA,"1996"
"1136","Harvard","2012-2013","Kathleen","Delaney-Smith",NA,NA,"1971"
"1137","Hawaii","2012-2013","Laura","Beeman",NA,NA,"1992"
"1138","High Point","2012-2013","DeUnna","Hendrix",NA,NA,"2007"
"1139","Hofstra","2012-2013","Krista","Kilburn-Steveskey",NA,NA,"1990"
"1140","Holy Cross","2012-2013","Bill","Gibbons","Jr.",NA,"1981"
"1141","Houston","2012-2013","Todd","Buchanan",NA,NA,"1995"
"1142","Houston Baptist","2012-2013","Mary","Gleason",NA,NA,"1995"
"1143","Howard","2012-2013","Niki","Reid","Geckeler",NA,"1993"
"1144","IUPUI","2012-2013","Austin","Parkinson",NA,NA,"2004"
"1145","Idaho","2012-2013","Jon","Newlee",NA,NA,"1982"
"1146","Idaho St.","2012-2013","Seton","Sobolewski",NA,NA,"2001"
"1147","Illinois","2012-2013","Matt","Bollant",NA,NA,"1994"
"1148","Illinois St.","2012-2013","Stephanie","Glance",NA,NA,"1985"
"1149","Indiana","2012-2013","Curt","Miller",NA,NA,"1990"
"1150","Indiana St.","2012-2013","Teri","Moren",NA,NA,"1992"
"1151","Iona","2012-2013","Tony","Bozzella",NA,NA,"1989"
"1152","Iowa","2012-2013","Lisa","Bluder",NA,NA,"1983"
"1153","Iowa St.","2012-2013","Bill","Fennelly",NA,NA,"1979"
"1154","Jackson St.","2012-2013","Surina","Dixon",NA,NA,"1983"
"1155","Jacksonville","2012-2013","Jill","Dunn",NA,NA,"1994"
"1156","Jacksonville St.","2012-2013","Annette","Watts",NA,NA,"1981"
"1157","James Madison","2012-2013","Kenny","Brooks",NA,NA,"1992"
"1158","Kansas","2012-2013","Bonnie","Henrickson",NA,NA,"1986"
"1159","Kansas St.","2012-2013","Deb","Patterson",NA,NA,"1979"
"1160","Kennesaw St.","2012-2013","Nitra","Perry",NA,NA,"2000"
"1161","Kent St.","2012-2013","Danielle","O'Banion",NA,NA,"2001"
"1162","Kentucky","2012-2013","Matthew","Mitchell",NA,NA,"1995"
"1163","LIU Brooklyn","2012-2013","Gail","Striegler",NA,NA,"1990"
